#,REF ID,DOI,First author,Year,Full author list,Country,Continent,Number of closures studied in case (paper if paper is one case),Actors involved with closure (types of actors + organization names),"Goverance type - overall (bottom-up, comgmt, top-down)",Ecosystem,Short type of closure (name),Types of stakeholders involved in design & number of stakeholders (if available; approx. ok),"Governance type - design (bottom-up, comgmt, top-down)",Design: types of actors,Size of closure,"Size of closure, standardized to Ha (1 km2 = 100 ha)",Length of time closed (range),Length of time closed (range) - standardized to years,Length of time closed - bins,Length of time open (range),Length of time open (range) - standardized to days,Length of time open - bins,Biomass of target fishes (report changes through time if available),Biomass summary of closed area relative to open - increase / no change / decrease,Abundance of target fishes,Abundance summary - increase / no change / decrease,Perceived compliance (through time if available),Compliance - high / medium / low,Is the closure a 'success' or not? Why?,Success? Categorized yes/ no to paper,Success? Why
28,051-WEN-22,10.1007/s13280-022-01763-7,Wencelius J,2022,"J. Wencelius, M. Lauer, T. Bambridge.",French Polynesia ,Oceania,1,"French Overseas Territory (Collectivite´ d’Outre-Mer), Association Rahui, founded by residents from the district of Haapiti in 2016. Numerous state agencies and local stakeholders, such as the Department of Urban Planning (SAU), the Environmental Agency (DIREN), and the Fisheries Department (DRM), alongside local stakeholders and municipal government.",Co-management,Coastal coral reef & lagoon,Rotational Closure,"The PGEM is governed by a steering committee—including representatives from the civil society, municipal authorities, and central government. Members can include the Mayor of Moorea, district mayors, and representatives of reef fishers, tourism industry, cultural/ environmental organization and scientific institutions. During the revision process of PGEM, a local group of stake holders named MAMA inolving PGEM staff, scientists, environmental activists, and representatives from the FP agencies started meeting on a regular basis to sketch out guidelines to prepare a full-blown revision.",Co-management,"Community leaders, environmental activists, government, researchers",It is the second most populated island of FP (17 463 inhabitants in 2017) and the second most visited in terms of international tourism(high volcanic island located 20 km west of Tahiti),,"Closed to night spearfishing, shift every 2 years between sites",2,1-9 years,"Daytime, shift every 2 years between sites",2 years (day only),1-2 years,N/A,N/A,N/a,N/A,"Varied throughout time, but Moorea's fishers have been against the PGEM which may indicate low compliance.",Low,"Mixed review: Moorea fishers argued that PGEM was flawed and unjust since the PGEM was geared towards the promotion of tourism at the expense of fishers. In meetings, fishers regularly indicated that the MPAs were opportunistically located near resorts, or they disgruntledly complained that regulations were only enforced for fishers while non-complying tourist operators were never sanctioned. However, environmental and cultural activists on Moorea thought PGEM as a success since it addressed their demands of gaining greater decision-making power in overseeing developments on the island’s public marine domain.",,
29,052-ABU-15,10.1016/j.ocecoaman.2015.07.008,Aburto J,2015,"Jaime A. Arburto, Carlos F. Gaymer. Sonia Haoa, Lilian Gonzales",Chile,South America,1,"Artisanal fisheries, Rapu Nui commintiy, Inernational Laour Organization, local people, expert fishermen, boat handlers, Chilean people/ immigrants, king, chiefs of Polynesia. ""In the past, tapu was enforeced by the king (Ariki) of Rapa Nui and controlled by the cheif in other places in Polynesia."" ",Co-management,Coastal coral reef,Tapu,"Rapanui community, Chilean Fishery and Aquaculture Law (FAL, Ley de Pesca y Acuicultura)",Co-management,"Villagers, government",Unclear but island is 171 km^2.,,"Winter and spawning periods. ""The ban on open water fish included the winter months (July, August, September). But some interviewees mentioned a more extended period from March-May to September (fall to spring in the southern hemisphere)"" ",0.5,2-11 months,"Not specified, not during winter or spawning periods (among tuna species is that spawning occurs at sea-surface temperatures of approximately 24 °C and higher)",6 months,2-9 months,N/a,N/A,N/A,N/A,"Low consume them during tapu. This tapu was respected until the 1960s.""",Low,"Not clearly stated but may be a failure: ""Three main reasons why traditional conservation or management systems could be eroded:  (a) the introduction of monetary economies, (b) the breakdown of traditional authority, and (c) the imposition of new laws and practices by colonial powers.""  ",,
30,022-GOE-18-A,10.1111/1365-2664.13047,Goetze J,2018,"Jordan S. Goetz, Joachim Claudet, Fraser  Januchowski Hartley, Timothy J. Langlois, Shaun K. Wilson, Crow White, Rebecca Weeks, Stacu D. Jupiter ",Fiji,Oceania,1,N/a,,Coastal coral reef,Periodically Harvested Closure,N/a,,,.73 Km^2,73,3 Years,3,1-9 years,4 days,4,2-5 days,"On average, 92% greater biomass",Increase,48% greater abundance ,Increase- less than biomass,high,High,"PHC's are capable of increasing fish stocks pre-harvest, indicating that abundance and biomass can accumulate within PHCs. However, harvesting of PHCs resulted in rapid decline of the fish stocks, suggesting fisheries and conservation benefits associated with protecting high biomass and abundance will fluctuate and may not be sustainable. ",,
31,022-GOE-18-D,10.1111/1365-2664.13047,Goetze J,2018,"Jordan S. Goetz, Joachim Claudet, Fraser  Januchowski Hartley, Timothy J. Langlois, Shaun K. Wilson, Crow White, Rebecca Weeks, Stacu D. Jupiter ",Fiji,Oceania,1,N/a,,Coastal coral reef,Periodically Harvested Closure,N/a,,,1.34Km^2,134,.25 years/ 91 days,0.25,2-11 months,1 day ,1,1 day,"On average, 92% greater biomass",Increase,48% greater abundance ,Increase- less than biomass,high,High,"PHC's are capable of increasing fish stocks pre-harvest, indicating that abundance and biomass can accumulate within PHCs. However, harvesting of PHCs resulted in rapid decline of the fish stocks, suggesting fisheries and conservation benefits associated with protecting high biomass and abundance will fluctuate and may not be sustainable. ",,
32,022-GOE-18-F,10.1111/1365-2664.13047,Goetze J,2018,"Jordan S. Goetz, Joachim Claudet, Fraser  Januchowski Hartley, Timothy J. Langlois, Shaun K. Wilson, Crow White, Rebecca Weeks, Stacu D. Jupiter ",Fiji,Oceania,1,N/a,,Coastal coral reef,Periodically Harvested Closure,N/a,,,2.17Km^2,217,1 year,1,1-9 years,2 days,2,2-5 days,"On average, 92% greater biomass",Increase,48% greater abundance ,Increase- less than biomass,high,High,"PHC's are capable of increasing fish stocks pre-harvest, indicating that abundance and biomass can accumulate within PHCs. However, harvesting of PHCs resulted in rapid decline of the fish stocks, suggesting fisheries and conservation benefits associated with protecting high biomass and abundance will fluctuate and may not be sustainable. ",,
33,022-GOE-18-G,10.1111/1365-2664.13047,Goetze J,2018,"Jordan S. Goetz, Joachim Claudet, Fraser  Januchowski Hartley, Timothy J. Langlois, Shaun K. Wilson, Crow White, Rebecca Weeks, Stacu D. Jupiter ",Fiji,Oceania,1,N/a,,Coastal coral reef,Periodically Harvested Closure,N/a,,,3.69Km^2,369,.08 years/29 days,0.08,<1 month,3 days,3,2-5 days,"On average, 92% greater biomass",Increase,48% greater abundance ,Increase- less than biomass,low,Low,"PHC's are capable of increasing fish stocks pre-harvest, indicating that abundance and biomass can accumulate within PHCs. However, harvesting of PHCs resulted in rapid decline of the fish stocks, suggesting fisheries and conservation benefits associated with protecting high biomass and abundance will fluctuate and may not be sustainable. ",,
34,050-COH-13-A,10.1371/journal.pone.0073383,Cohen P,2013,"Philippa Jane Cohen, Timothy J. Alexander",Solomon Islands,Oceania,1,"Community members, state government, and NGOs (names not mentioned), 2 relevant quotes: ""Communities, state government and non-government organisations (NGOs) are invested"", ""Each of these communities had engaged in NGO-supported initiatives to develop co-management arrangements that included resource-use regulations and education, compliance and monitoring strategies.""",Co-management,Coastal coral reef,Periodically Harvested Closure,"Communities, State government, and NGOs (names not mentioned)",Co-management,"Villagers, NGOs, government",0.04 km2,4,6 years,6,1-9 years,11 days,11,1-2 weeks,NA (focuses on CPUE and catch distribution),N/A,NA (focuses on CPUE and catch distribution),N/A,NA,N/A,NA,,
35,050-COH-13-B,10.1371/journal.pone.0073383,Cohen P,2013,"Philippa Jane Cohen, Timothy J. Alexander",Solomon Islands,Oceania,1,"Community members, state government, and NGOs (names not mentioned), 2 relevant quotes:, ""Communities, state government and non-government organisations (NGOs) are invested"", ""Each of these communities had engaged in NGO-supported initiatives to develop co-management arrangements that included resource-use regulations and education, compliance and monitoring strategies.""",Co-management,Coastal coral reef,Periodically Harvested Closure,"Communities, State government, and NGOs (names not mentioned)",Co-management,"Villagers, NGOs, government",0.63 km,63,11 months,0.9166666667,2-11 months,"1 month (potential opening each year, unclear if it opens annually)",1 month,3-5 weeks,NA (focuses on CPUE and catch distribution),N/A,NA (focuses on CPUE and catch distribution),N/A,NA,N/A,NA,,
36,050-COH-13-C,10.1371/journal.pone.0073383,Cohen P,2013,"Philippa Jane Cohen, Timothy J. Alexander",Solomon Islands,Oceania,1,"Community members, state government, and NGOs (names not mentioned), 2 relevant quotes: ""Communities, state government and non-government organisations (NGOs) are invested"", ""Each of these communities had engaged in NGO-supported initiatives to develop co-management arrangements that included resource-use regulations and education, compliance and monitoring strategies.""",Co-management,Coastal coral reef,Periodically Harvested Closure,"Communities, State government, and NGOs (names not mentioned)",Co-management,"Villagers, NGOs, government",0.03 km2,3,11 months,0.9166666667,2-11 months,"1 month (potential opening each year, unclear if it opens annually)",1 month,3-5 weeks,NA (focuses on CPUE and catch distribution),N/A,NA (focuses on CPUE and catch distribution),N/A,NA,N/A,NA,,
37,050-COH-13-D,10.1371/journal.pone.0073383,Cohen P,2013,"Philippa Jane Cohen, Timothy J. Alexander",Solomon Islands,Oceania,1,"Community members, state government, and NGOs (names not mentioned), 2 relevant quotes: ""Communities, state government and non-government organisations (NGOs) are invested"", ""Each of these communities had engaged in NGO-supported initiatives to develop co-management arrangements that included resource-use regulations and education, compliance and monitoring strategies.""",Co-management,Coastal coral reef,Periodically Harvested Closure,"Communities, State government, and NGOs (names not mentioned)",Co-management,"Villagers, NGOs, government",0.37 km2,37,11 months,0.9166666667,2-11 months,"1 month (potential opening each year, unclear if it opens annually)",1 month,3-5 weeks,NA (focuses on CPUE and catch distribution),N/A,NA (focuses on CPUE and catch distribution),N/A,NA,N/A,NA,,
38,*064-JAN-14,10.1002/aqc.2388.,Januchowski-Hartley F,2013,"Fraser A. Januchowski-Hartley, Joshua E. Cinner, Nicholas A. J. Graham",Vanuatu,Oceania,2,NA,,Coastal coral reef,Periodically Harvested Closure,NA,,,8-10 ha,9,"Paper compares: 2 no-take reserves (closed 19 years since 2005), 2 PHCs that close for 6 months at a time. Established in 2006 (6 years ebfore data collection) and 2010 (2 years before data collection) Note that data is pooled between both PHCs",2-6,1-9 years,"1-3 days, every 6 months",1-3,2-5 days,Pre-harvest: No-take reserve and PHC had higher biomass than open-fishing area. Biomass did not change post-harvest for PHC,Increase (even after harvest),"Only one measured change in abundance (out of 3 families counted): Acanthuridae showed higher abundance in the no-take reserves than open areas and PHC, both pre-harvest and post-harvest.",Increase- less than biomass,NA,N/A,NA,,
39,065-COH-15-A,10.1017/S0376892914000423.,Cohen P,2015,"Philippa Jane Cohen, Dirk Johan Steenbergen",Indonesia,Asia,1,"NGO, church leaders, elders, local government",Co-management,Coastal coral reef,Sasi (Periodically Harvested Closure),"NGO, church leaders, clan leaders, and other fishers who were part of the NGO's outreach efforts.",Co-management,"Community leaders, NGO",NA,,Less than 1 year,1,1-9 years,5 days,5,2-5 days,"One mention of qualitative change. ""results showed where there were high trochus densities within a particular part of the no-take area.""",Increase,"One mention of qualitative change. ""results showed where there were high trochus densities within a particular part of the no-take area.""",Increase- same as biomass,NA,N/A,NA,,
40,065-COH-15-B,10.1017/S0376892914000423.,Cohen P,2015,"Philippa Jane Cohen, Dirk Johan Steenbergen",Indonesia,Asia,4,"NGO, church leaders, elders, local government",Co-management,Coastal coral reef,Sasi (Periodically Harvested Closure),"NGO, church leaders, clan leaders, and other fishers who were part of the NGO's outreach efforts.",Co-management,"Community leaders, NGO",NA,,~5 years. Has opened twice since establishment.,1.666666667,1-9 years,Single-day openings,1,1 day,"One mention of qualitative change, ""the church council, conservation team and partner agency reached a consensus that data indicated sufficient growth of the sea cucumber population within the permanent no-take area to assume that there would be spill-over into surrounding areas, ""results showed where there were high trochus densities within a particular part of the no-take area.""",Increase,"One mention of qualitative change. ""results showed where there were high trochus densities within a particular part of the no-take area.""",Increase- same as biomass,NA,N/A,NA,,
41,065-COH-15-C,10.1017/S0376892914000423.,Cohen P,2015,"Philippa Jane Cohen, Dirk Johan Steenbergen",Solomon Islands,Oceania,1,Responsibilities and authority to govern were implicitly shared between community and government; people who held tenure had rights to manage their resources,Co-management,Coastal coral reef,Periodically Harvested Closure,"NGO led outreach campaign to community. Community had exlcusive rights, and NGO facilitated the formation of a management comittee. Government not involved",Co-management,"Community leaders, NGO",NA,,Less than 1 year,1,1-9 years,Single-day openings,1,1 day,NA,N/A,NA,N/A,NA,N/A,NA,,
42,065-COH-15-D,10.1017/S0376892914000423.,Cohen P,2015,"Philippa Jane Cohen, Dirk Johan Steenbergen",Solomon Islands,Oceania,2,Responsibilities and authority to govern were implicitly shared between community and government; people who held tenure had rights to manage their resources,Co-management,Coastal coral reef,Periodically Harvested Closure,"NGO led outreach campaign to community. Community had exlcusive rights, and NGO facilitated the formation of a management comittee. Government not involved",Co-management,"Community leaders, NGO",NA,,Less than 1 year,1,1-9 years,"31-day openining, annually",1 month,3-5 weeks,NA,N/A,NA,N/A,"""it was commonly perceived that compliance with closures"" was high",High,NA,,
43,066-CHA-08,10.1080/14702540802411808.,Chambers C,2008,Charlotte N. L. Chambers,Cook Islands,Oceania,1,NA,,Coastal coral reef,Rāhui (Spatial Temporary Closure),Traditional Island Council,Bottom-up,Community leaders,NA,,NA,,,NA,,,NA,N/A,NA,N/A,NA,N/A,NA,,
44,045-GOE-16-A,10.1016/j.biocon.2016.08.039,Goetze J,2016,"Jordan Goetze, Tim Langlois, Joachim Claudet, Fraser Januchowski-Hartley, Stacy D. Jupiter",Fiji,Oceania,1,"local community, non-government organization",Co-management,Coastal coral reef,Periodically Harvested Closure,Local Community,Bottom-up,Villagers,0.73 km^2,73,3 years,3,1-9 years,4 days,4,2-5 days,pre-harvest: 43% greater biomass inside; harvest: 38% greater removal of targeted biomass; post-harvest: overall 7% greater biomass of targeted species ,Increase (even after harvest),NA,N/A,High,High,"""Although PHCs can provide both short-term conservation and fisheries benefits, their potential as a long-term management strategy remains unclear.""",,
45,045-GOE-16-B,10.1016/j.biocon.2016.08.039,Goetze J,2016,"Jordan Goetze, Tim Langlois, Joachim Claudet, Fraser Januchowski-Hartley, Stacy D. Jupiter",Fiji,Oceania,1,"local community, non-government organization",Co-management,Coastal coral reef,Periodically Harvested Closure,Local Community,Bottom-up,Villagers,1.34 km^2,134,3 months; 0.25 years,0.25,2-11 months,1 day,1,1 day,pre-harvest: 43% greater biomass inside; harvest: 38% greater removal of targeted biomass; post-harvest: overall 7% greater biomass of targeted species ,Increase (even after harvest),NA,N/A,High,High,"""Although PHCs can provide both short-term conservation and fisheries benefits, their potential as a long-term management strategy remains unclear.""",,
46,045-GOE-16-C,10.1016/j.biocon.2016.08.039,Goetze J,2016,"Jordan Goetze, Tim Langlois, Joachim Claudet, Fraser Januchowski-Hartley, Stacy D. Jupiter",Fiji,Oceania,1,"local community, non-government organization",Co-management,Coastal coral reef,Periodically Harvested Closure,Local Community,Bottom-up,Villagers,3.69 km^2,369,29 days; 0.08 years,0.08,<1 month,3 days,3,2-5 days,pre-harvest: 43% greater biomass inside PHCs compared to open areas prior to harvests; post-harvest: targeted biomass was 51% lower within the Nauouo PHC when compared to open areas.,Increase (decrease after harvest),NA,N/A,Low,Low,"""Although PHCs can provide both short-term conservation and fisheries benefits, their potential as a long-term management strategy remains unclear.""",,
47,045-GOE-16-D,10.1016/j.biocon.2016.08.039,Goetze J,2016,"Jordan Goetze, Tim Langlois, Joachim Claudet, Fraser Januchowski-Hartley, Stacy D. Jupiter",Fiji,Oceania,1,"local community, non-government organization",Co-management,Coastal coral reef,Periodically Harvested Closure,Local Community,Bottom-up,Villagers,2.17 km^2,217,1 year,1,1-9 years,2 days,2,2-5 days,pre-harvest: 43% greater biomass inside; harvest: 38% greater removal of targeted biomass; post-harvest: overall 7% greater biomass of targeted species ,Increase (even after harvest),NA,N/A,High,High,"""Although PHCs can provide both short-term conservation and fisheries benefits, their potential as a long-term management strategy remains unclear.""",,
48,045-GOE-16-E,10.1016/j.biocon.2016.08.039,Goetze J,2016,"Jordan Goetze, Tim Langlois, Joachim Claudet, Fraser Januchowski-Hartley, Stacy D. Jupiter",Fiji,Oceania,1,"local community, non-government organization",Co-management,Coastal coral reef,Periodically Harvested Closure,Local Community,Bottom-up,Villagers,2.07 km^2,207,1 year,1,1-9 years,7 days,7,1-2 weeks,pre-harvest: 43% greater biomass inside; harvest: 38% greater removal of targeted biomass; post-harvest: overall 7% greater biomass of targeted species ,Increase (even after harvest),NA,N/A,Moderate,Medium,"""Although PHCs can provide both short-term conservation and fisheries benefits, their potential as a long-term management strategy remains unclear.""",,
49,059-QUI-21,10.3389/fmars.2021.652318.,Quintana A,2021,"Anastasia C. E. Quintana, Alfredo Giron-Nava, Samuel Urmy, Alli N. Cramer, Santiago Domínguez-Sánchez, Salvador Rodríguez-Van Dyck, Octavio Aburto-Oropeza, Xavier Basurto and Amy Hudson Weaver",Mexico,North America,11,"NGO (Niparaja), government (CONAPESCA), local fishers, local community, fishing cooperatives",Co-management,"Nearshore rocky reef, offshore rocky reef, mangrove estuaries",Temporary Fisheries Closure,"Fishers, especially fishing cooperatives (~100 fishers)",Bottom-up,Villagers,0.4-5.9 km2 (in 2012); 0.4-32.91 km2 (in 2017),580,5 years at a time (still closed since 2012),5,1-9 years,N/A,0,0 (never open),5x increase = 428% increase (0.18 to 0.95 tons/ha in 5 years),Increase,increased 3x = 200% increase (0.21 to 0.63 fish/m2 in 5 years),Increase (less than biomass),"Mixed; in some sites (San Marcial), high, especially by insiders, plus easy to monitor and hear who is there; in some sites (San Diego - faraway), compliance cascade with poaching by outsiders leading to illegal fishing by insiders",Mixed,"Yes- it was renewed and expanded, and shows ecological benefits",,
50,067-OLI-15,10.1371/journal.pone.0129075.,Oliver A,2015,"Thomas A. Oliver, Kirsten L. L. Oleson, Hajanaina Ratsimbazafy, Daniel Raberinary, Sophie Benbow, Alasdair Harris",Madagascar,Africa,36,"Fishers, communities, elected offiicials, and NGO: Velondriake Committee (elected management body), communities, Blue Ventures Conservation",Co-management,Coastal coral reef,Periodic Closure,"Elected committee: ""the Velondriake Committee, an elected management body, selects closure sites, chooses closure durations, and coordinates management""",Bottom-up,Local committee,124 ha +/- 45 (CI95),124,2-7 months,0.17-0.59,2-11 months,Not clear (rest of the year?),rest of time,rest of time,717.8% increase (from average 49.5 kg in 30 days before closure to 404.8 kg in 30 days after closure (interesting note: landings tended to return to baseline usually within 7-10 days of re-opening),Increase (return to baseline 7-10 days after harvest),N/A (looked at biomass),N/A,"Low in 18 sites (50%), Moderate in 9 sites (25%), High in 9 sites (25%); Defined strictly as: Low = < 5% of baseline catch; moderate = 5-50% of baseline catch; high = >50% of baseline catch",Mixed,"Yes- strong ecological benefits, plus strong community uptake; compliance is high in 50% of closures",,
51,039-BEN-14-A,10.1016/j.biocon.2016.08.038,Benbow S,2014,"S Benbow, F Humber, TA Oliver, KLL Oleson, D Raberinary M Nadon, H Ratsimbazafy and A Harris",Madagascar ,Africa,,"fisheries collection companies, Blue  Ventures, a British marine conservation NGO, local Vezo fishing communities",Co-management,Coastal coral reef,Locally Managed Marine Area (LMMA) / Temporary Closure,"fishing communities, blue ventures NGO staff",Co-management,"Villagers, NGO","The site selected for the first trial octopus fishery closure was Ankereo, a 137 ha reef flat around Nosy Fasy, ",137,"Ankereo  was  closed  for  a  pilot  7-month  period  from  1  November  2004  until  6  June  2005  (218  days)  and  for  a  second,  shorter  period  the  following  year  (135  days  from  15  December  2005  to  28  April  2006).  ",0.36-0.59,2-11 months,N/a,0.64-0.41,2-9 months,Not stated but Mean  octopus  size  increased  by  41%  on  average  when  compared  to  data from selected control sites.,Increase,N/A,N/A,N/a,N/A,"closures met economic and fisheries based goals, however, authors pinpoint problems with management success (We found a significant closure effect in terms of total  weight  and  number  of  octopus  caught  on  opening  days,  but  observed  that  these  benefits  dissipated  quickly,  returning  to  pre-closure  levels  within  days.  Mean  octopus  size  increased  by  41%  on  average  when  compared  to  data from selected control sites. However, extremely high levels of fishing effort on opening days meant that these biological effects did not translate into increased weight of octopus caught per successful fisher over the opening tide.  Upon  opening  of  concurrent  closures  during  the  second  round  of  closures  we  found  significant  increases  in  the  weight  of  octopus  caught  per  successful  fisher.  We  conclude  that  the  pilot  closures  had  a  significant  closure  effect, but caution against isolated openings leading to concentrated fishing effort on opening days.)",,
52,039-BEN-14-B,10.1016/j.biocon.2016.08.038,Benbow S,2014,"S Benbow, F Humber, TA Oliver, KLL Oleson, D Raberinary M Nadon, H Ratsimbazafy and A Harris",Madagascar ,Africa,,"fisheries collection companies, Blue  Ventures, a British marine conservation NGO, local Vezo fishing communities",Co-management,Coastal coral reef,Locally Managed Marine Area (LMMA) / Temporary Closure,"fishing communities, blue ventures NGO staff",Co-management,"Villagers, NGO","Nosy Masay is a submerged patch reef site, 150 ha in size, lying directly west of the islands of Nosy Mitata, ",150,15 December 2005 until 31 January 2006 (48 days). Thus the three 2005–2006 site closures effectively served as site-specific extensions of the regional fisheries closure,0.1315068493,2-11 months,N/a,317,2-9 months,Not stated but Mean  octopus  size  increased  by  41%  on  average  when  compared  to  data from selected control sites.,Increase,N/A,N/A,N/a,N/A,"closures met economic and fisheries based goals, however, authors pinpoint problems with management success (We found a significant closure effect in terms of total  weight  and  number  of  octopus  caught  on  opening  days,  but  observed  that  these  benefits  dissipated  quickly,  returning  to  pre-closure  levels  within  days.  Mean  octopus  size  increased  by  41%  on  average  when  compared  to  data from selected control sites. However, extremely high levels of fishing effort on opening days meant that these biological effects did not translate into increased weight of octopus caught per successful fisher over the opening tide.  Upon  opening  of  concurrent  closures  during  the  second  round  of  closures  we  found  significant  increases  in  the  weight  of  octopus  caught  per  successful  fisher.  We  conclude  that  the  pilot  closures  had  a  significant  closure  effect, but caution against isolated openings leading to concentrated fishing effort on opening days.)",,
53,039-BEN-14-C,10.1016/j.biocon.2016.08.038,Benbow S,2014,"S Benbow, F Humber, TA Oliver, KLL Oleson, D Raberinary M Nadon, H Ratsimbazafy and A Harris",Madagascar ,Africa,,"fisheries collection companies, Blue  Ventures, a British marine conservation NGO, local Vezo fishing communities",Co-management,Coastal coral reef,Locally Managed Marine Area (LMMA) / Temporary Closure,"fishing communities, blue ventures NGO staff",Co-management,"Villagers, NGO","Ampisorogna is a fringing reef flat of 90 ha, 9 km south of Andavadoaka.",90,15 December 2005 until 31 January 2006 (48 days). Thus the three 2005–2006 site closures effectively served as site-specific extensions of the regional fisheries closure,0.1315068493,2-11 months,N/a,317,2-9 months,Not stated but Mean  octopus  size  increased  by  41%  on  average  when  compared  to  data from selected control sites.,Increase,N/A,N/A,N/a,N/A,"closures met economic and fisheries based goals, however, authors pinpoint problems with management success (We found a significant closure effect in terms of total  weight  and  number  of  octopus  caught  on  opening  days,  but  observed  that  these  benefits  dissipated  quickly,  returning  to  pre-closure  levels  within  days.  Mean  octopus  size  increased  by  41%  on  average  when  compared  to  data from selected control sites. However, extremely high levels of fishing effort on opening days meant that these biological effects did not translate into increased weight of octopus caught per successful fisher over the opening tide.  Upon  opening  of  concurrent  closures  during  the  second  round  of  closures  we  found  significant  increases  in  the  weight  of  octopus  caught  per  successful  fisher.  We  conclude  that  the  pilot  closures  had  a  significant  closure  effect, but caution against isolated openings leading to concentrated fishing effort on opening days.)",,
,068-GNA-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,069-BIS-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,072-GOE-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
